YMD,지점,평균기온,최저기온,최고기온,강수량,미세먼지
2019-02-26,전국,5.4,-1.5,12.8,0,43.96296296
2019-02-27,전국,7.1,3.4,11.8,0.4,43.14285714
2019-02-28,전국,6.8,1.4,13.4,0.1,76
2019-03-01,전국,6,-0.3,13.7,0,91.60714286
2019-03-02,전국,6.9,-0.8,14.6,0,77.62962963
2019-03-03,전국,8.7,2.4,14.8,0,69.96153846
2019-03-04,전국,8.8,3.9,15.2,0,88.88
2019-03-05,전국,8.2,1.2,14.4,0,123.44
2019-03-06,전국,8.8,4.7,14.3,1,94.33333333
2019-03-07,전국,6.5,2.1,12.1,0.5,49.96428571
2019-03-08,전국,6.1,-1.3,14.5,0,36.37037037
2019-03-09,전국,7.9,-1,16.1,0.3,33.26923077
2019-03-10,전국,7.8,3.8,11.9,7.9,30.35714286
2019-03-11,전국,6.4,0.7,11.9,1.1,37.78571429
2019-03-12,전국,5.8,0.9,11.9,0.9,50.67857143
2019-03-13,전국,3.9,-1.5,9.4,0,31.57142857
2019-03-14,전국,5.2,-2.4,11.8,0,31.2962963
2019-03-15,전국,5.8,1,12.3,3.3,31.73076923
2019-03-16,전국,5.8,1.4,11.1,0.2,27.88461538
2019-03-17,전국,6.6,1.1,13.1,0,28.11111111
2019-03-18,전국,7.5,-0.7,15,0,28.88461538
2019-03-19,전국,10.7,2.2,19,0,40.92592593
2019-03-20,전국,11.4,5.3,17.2,16.1,55.4
2019-03-21,전국,9.8,4.5,15,2.1,25.07407407
2019-03-22,전국,5.2,1.6,10.5,0,35.53571429
2019-03-23,전국,4.2,-0.3,10.3,1.4,22.44444444
2019-03-24,전국,4.7,-2.1,11.3,0,23.42857143
2019-03-25,전국,7.2,0.4,13.8,0,38.21428571
2019-03-26,전국,10.5,3.2,18.7,0,44.25
2019-03-27,전국,12.8,4.8,19.9,0.1,53.03571429
2019-03-28,전국,10.6,6.6,16.1,0.6,44.2962963
2019-03-29,전국,10.6,5,17,0,33.14285714
2019-03-30,전국,7.2,3.7,12.2,3,27.07142857
2019-03-31,전국,5.4,2.3,9.2,0.2,30.88888889
2019-04-01,전국,5.7,-0.1,11.4,0,22.71428571
2019-04-02,전국,6.7,-0.4,13.4,0,24.32142857
2019-04-03,전국,7.4,-0.4,14.5,0,28.71428571
2019-04-04,전국,9.9,1.3,17.9,0,33.14285714
2019-04-05,전국,11.7,5.2,19,0,75.14814815
2019-04-06,전국,11.6,3.4,19,0.6,57.25925926
2019-04-07,전국,12.5,7.4,18.4,2.8,43.44
2019-04-08,전국,11.8,5.1,19.1,0,34.21428571
2019-04-09,전국,9.3,4.8,15.4,23.2,22.57692308
2019-04-10,전국,7.2,4.5,9.9,8.5,11.75
2019-04-11,전국,8.8,3.3,14.3,0,19.92307692
2019-04-12,전국,10.7,4.1,17.7,0.1,30.92592593
2019-04-13,전국,11.6,4,18.9,0,32.64285714
2019-04-14,전국,10.2,6.3,14.7,0.8,29.89285714
2019-04-15,전국,11.1,2.3,19.6,0,46.77777778
2019-04-16,전국,14.2,4.3,23.3,0,38.07407407
2019-04-17,전국,15.5,8.7,23,0.5,34.76
2019-04-18,전국,15.3,8.4,21.6,0,28.42307692
2019-04-19,전국,12.8,9.5,17.6,0,32.48148148
2019-04-20,전국,14.7,7.7,21.6,0.1,33.57142857
2019-04-21,전국,16.5,12,22.1,0.1,31.10714286
2019-04-22,전국,17.6,10.2,25.6,0,49.35714286
2019-04-23,전국,16.8,12.1,21.8,5.6,40.81481481
2019-04-24,전국,17.3,14.2,22,6.9,26.69230769
2019-04-25,전국,13.5,10.2,17,4.5,39.46153846
2019-04-26,전국,9.4,7.6,11.6,6.3,14.15384615
2019-04-27,전국,11.4,4.9,17.8,0.1,15.26086957
2019-04-28,전국,12.1,8.4,17.1,0.2,18.56
2019-04-29,전국,11.3,8,14.3,19.1,18.125
2019-04-30,전국,14.6,9.8,20.5,0.1,22.37037037
2019-05-01,전국,15.4,10.1,22.1,0,49.19230769
2019-05-02,전국,16,8.3,24.1,0,56.78571429
2019-05-03,전국,16.7,7.6,25.9,0,44.71428571
2019-05-04,전국,17.6,8.8,26.5,0,54.96296296
2019-05-05,전국,18.9,10.9,27.3,0,48.81481481
2019-05-06,전국,14,8.3,20.3,0.1,35.62962963
2019-05-07,전국,13.9,5.2,21.8,0,35.84615385
2019-05-08,전국,15.7,7.2,22.9,0,38.25925926
2019-05-09,전국,17.1,11.1,24.1,0,37.74074074
2019-05-10,전국,17.6,8.7,26.7,0,39
2019-05-11,전국,18.5,10.2,27.3,0,40.33333333
2019-05-12,전국,18.4,11.1,26,0,36.32142857
2019-05-13,전국,17.9,11.4,24.5,0,38.25925926
2019-05-14,전국,19.8,13.9,26.6,0,38.30769231
2019-05-15,전국,20.3,14.3,27.3,0,41.46153846
2019-05-16,전국,21.4,14.6,28.9,0,43.30769231
2019-05-17,전국,21.3,15,27.3,1.7,36.2962963
2019-05-18,전국,18.8,16.4,21.8,21.3,20.64
2019-05-19,전국,19.5,16.9,22.6,7.2,15.29166667
2019-05-20,전국,17,11.9,21,1.7,29.25
2019-05-21,전국,17,9,24.2,0,37.2962963
2019-05-22,전국,19.2,10.3,27.3,0,43.78571429
2019-05-23,전국,20.9,12.8,29,0,51.11111111
2019-05-24,전국,22.9,14,31.6,0,61.5
2019-05-25,전국,23.3,16.9,30.1,0,49.28571429
2019-05-26,전국,23.2,16.4,30.1,0.1,34.03703704
2019-05-27,전국,18.6,15.4,22.1,22.9,19.23809524
2019-05-28,전국,17.8,12.6,23.8,0,19.125
2019-05-29,전국,19.7,11.1,27.4,0,34.11111111
2019-05-30,전국,20.5,12.7,27.6,0.1,33.67857143
2019-05-31,전국,18.6,14.4,24,0.8,20.30769231
2019-06-01,전국,18.9,12.4,25.3,0,26.22222222
2019-06-02,전국,20.6,13.6,27.8,0,28.22222222
2019-06-03,전국,22,14,29.7,0,35.19230769
2019-06-04,전국,23.1,16.1,30.3,0,35.73076923
2019-06-05,전국,22.9,16.8,29.9,0,32.72
2019-06-06,전국,21.1,16.9,26.9,20.7,40.12
2019-06-07,전국,18.6,16.6,21.2,24.2,15.27777778
2019-06-08,전국,20.1,15.5,25.5,0.1,21.95652174
2019-06-09,전국,19.7,16.1,25,1.5,22.04
2019-06-10,전국,18.3,15.3,22.2,4,14.83333333
2019-06-11,전국,18.8,14.8,23.8,0.3,14.94736842
2019-06-12,전국,19.7,14.3,25.9,0,22.08695652
2019-06-13,전국,21.2,14.7,28,0,22.875
2019-06-14,전국,20.2,16.8,24.7,2.3,24.76
2019-06-15,전국,20.4,16.1,26.4,3.8,24.16666667
2019-06-16,전국,20.2,15.2,26.1,0.1,20.6
2019-06-17,전국,21.3,16.8,26.8,0,21.11538462
2019-06-18,전국,21.3,17.3,26.2,2.1,24.57692308
2019-06-19,전국,22.2,18.3,27.5,0.8,26.96153846
2019-06-20,전국,23.4,18.2,29.2,0,26.68
2019-06-21,전국,22.8,18.5,28.7,1.9,25.24
2019-06-22,전국,21.7,17.4,27.1,1,18.04166667
2019-06-23,전국,21.6,16.4,27.3,0.3,16.7
2019-06-24,전국,22.5,17.2,28.4,0.1,18.04545455
2019-06-25,전국,23.6,17.1,30.4,0,22.96153846
2019-06-26,전국,21.1,18,24.4,33.1,24.7826087
2019-06-27,전국,23.8,20.6,28.8,12,19.54545455
2019-06-28,전국,23.6,20.7,28.1,0.8,23.45833333
2019-06-29,전국,21.6,19.9,24.1,31.7,20.08695652
2019-06-30,전국,23.8,20.1,28.5,0,22.26923077
2019-07-01,전국,23.2,19.9,26.9,0.4,27.125
2019-07-02,전국,23.4,18.5,29.2,0,23.85185185
2019-07-03,전국,23.1,18.4,28.5,0,25.57692308
2019-07-04,전국,24.4,18.4,31.2,0,27.26923077
2019-07-05,전국,25.1,19.1,32,0,29.53846154
2019-07-06,전국,25.1,19,31.3,0,28.14814815
2019-07-07,전국,23.5,19.8,28.2,0.2,19.64
2019-07-08,전국,22.6,18.9,27.3,0.5,15.33333333
2019-07-09,전국,22.6,18.4,27,0.2,14.5
2019-07-10,전국,20.9,19.2,23.3,20.7,12.21052632
2019-07-11,전국,22.2,19.7,25.6,8.5,10.25
2019-07-12,전국,23.2,19.6,27.9,0.4,14.91666667
2019-07-13,전국,23.3,20.1,27.8,1.6,23.76
2019-07-14,전국,23.9,20.2,29.1,2.1,27.25925926
2019-07-15,전국,23.2,20.6,27.1,8.8,26.91666667
2019-07-16,전국,23.8,20.3,28.7,4.5,22.45833333
2019-07-17,전국,24.4,20.7,28.8,3.7,26.14814815
2019-07-18,전국,24.3,21.4,27.8,8.1,28.57692308
2019-07-19,전국,25.2,22.1,28.5,13.9,20.70833333
2019-07-20,전국,24.8,23.2,27.1,56.5,12.29411765
2019-07-21,전국,24.8,22.6,27.8,20,17.71428571
2019-07-22,전국,27,23.2,31.6,0.3,27.92592593
2019-07-23,전국,27.9,24.2,32.8,0,21.16666667
2019-07-24,전국,26.8,24.8,29.7,0.5,18.5
2019-07-25,전국,26.6,24.8,29.2,16.3,19.64
2019-07-26,전국,26.5,24.7,29.2,19,18.66666667
2019-07-27,전국,27.1,24.6,30.5,12.1,21.05263158
2019-07-28,전국,26.9,25,29.9,10.9,15.73684211
2019-07-29,전국,27.8,24.3,32.1,0.1,15.74074074
2019-07-30,전국,28.4,24.7,32.5,0.7,16.2173913
2019-07-31,전국,28.4,25.2,32.2,6,13.8
2019-08-01,전국,28.4,24.6,33.1,3.4,14.23809524
2019-08-02,전국,28.8,24.3,34.2,0.1,17.04347826
2019-08-03,전국,28.3,24.2,34.1,0.5,21.47826087
2019-08-04,전국,28.4,23.9,34.2,0.6,28.16
2019-08-05,전국,28.8,24.2,34.6,0.7,33.38461538
2019-08-06,전국,27.6,23.8,32.1,10.9,28.30434783
2019-08-07,전국,27.2,23.8,32.1,14.7,26.83333333
2019-08-08,전국,27.6,24.2,33.2,5.7,28.08695652
2019-08-09,전국,28.3,24.2,33.6,0.1,21.22727273
2019-08-10,전국,28.6,24.5,33.4,0,23.28
2019-08-11,전국,28.3,24.8,32.3,8,19.16
2019-08-12,전국,27.7,25.3,31,15.5,20.48
2019-08-13,전국,28.5,24.3,33.7,1.2,21.16666667
2019-08-14,전국,28.6,24.7,33,1.2,19
2019-08-15,전국,26.1,24.2,29.1,15.8,11.89473684
2019-08-16,전국,26.4,23.3,30.7,1.9,18.47619048
